CADD_v1.5	SQUIRLS	MaxEntScan	SpliceAI	CI-SpliceAI	Pangolin	SPiP	label
0.0013	0.0071	0.091	0.0	0.0	0.0	0.0	0.0
1.2419	0.0072	1.272	0.0	0.0	0.0	0.0	0.0
0.247	0.0089	0.856	0.0	0.0	0.0	0.006	0.0
0.2536	0.006	0.175	0.0	0.0	0.0	0.0	0.0
0.8023	0.0084	1.635	0.0	0.0	0.0	0.0	0.0
1.098	0.0071	7.955	0.02	0.0	0.0	0.0	0.0
0.18	0.0062	0.915	0.0	0.0	0.0	0.0	0.0
0.0347	0.0062	5.693	0.01	0.0	0.009999999776482582	0.0	0.0
0.7931	0.0061	0.297	0.01	0.0	0.0	0.0	0.0
0.2164	0.006	0.131	0.02	0.0	0.029999999329447746	0.002	0.0
0.6209	0.0063	0.432	0.14	0.08	0.12999999523162842	0.0	0.0
0.6797	0.0063	0.072	0.01	0.0	0.009999999776482582	0.0	0.0
0.9153	0.0061	1.734	0.0	0.0	0.009999999776482582	0.008	0.0
0.9774	0.0069	6.163	0.0	0.0	0.0	0.0	0.0
0.4541	0.0061	0.384	0.0	0.0	0.0	0.0	0.0
0.0623	0.0061	1.016	0.0	0.0	0.0	0.0	0.0
0.5093	0.013	1.717	0.0	0.0	0.0	0.0	0.0
0.9593	0.0069	8.75	0.0	0.0	0.0	0.0	0.0
0.702	0.0087	0.856	0.0	0.0	0.0	0.0	0.0
0.3761	0.0061	8.182	0.0	0.0	0.0	0.0	0.0
0.2011	0.0099	0.457	0.0	0.0	0.0	0.002	0.0
0.1627	0.013	0.324	0.0	0.0	0.0	0.01	0.0
1.0624	0.0071	8.182	0.0	0.0	0.0	0.0	0.0
0.1618	0.006	1.757	0.0	0.0	0.0	0.0	0.0
0.6923	0.0079	8.47	0.0	0.0	0.0	0.0	0.0
0.3276	0.006	0.354	0.0	0.0	0.0	0.0	0.0
0.2234	0.0072	2.842	0.0	0.0	0.0	0.0	0.0
0.1875	0.007	0.177	0.01	0.0	0.009999999776482582	0.0	0.0
0.4443	0.0062	0.227	0.0	0.0	0.0	0.0	0.0
0.1846	0.0077	8.686	0.0	0.01	0.009999999776482582	0.072	0.0
1.1298	0.0063	5.191	0.01	0.01	0.0	0.0	0.0
0.0349	0.0072	2.08	0.02	0.02	0.0	0.004	0.0
0.3452	0.0088	0.985	0.0	0.0	0.0	0.0	0.0
0.5679	0.007	0.62	0.0	0.0	0.0	0.0	0.0
0.7306	0.0061	0.349	0.0	0.0	0.0	0.0	0.0
0.1425	0.0064	10.833	0.02	0.01	0.029999999329447746	0.0	0.0
0.1298	0.0062	2.519	0.0	0.0	0.0	0.0	0.0
0.8374	0.0088	0.016	0.0	0.0	0.0	0.0	0.0
0.8997	0.0061	0.512	0.0	0.0	0.0	0.0	0.0
0.1064	0.0072	2.467	0.01	0.0	0.0	0.0	0.0
1.6276	0.0071	8.598	0.0	0.0	0.0	0.004	0.0
0.3972	0.007	0.791	0.0	0.0	0.0	0.0	0.0
0.1459	0.0087	0.014	0.0	0.0	0.0	0.012	0.0
0.324	0.0061	0.133	0.0	0.0	0.0	0.0	0.0
0.8124	0.007	0.782	0.0	0.0	0.0	0.0	0.0
0.342	0.0062	3.837	0.0	0.0	0.0	0.006	0.0
0.2781	0.0062	1.522	0.0	0.0	0.0	0.006	0.0
0.5429	0.007	1.064	0.01	0.0	0.0	0.0	0.0
0.4721	0.0084	0.043	0.01	0.0	0.0	0.0	0.0
0.1864	0.0062	0.22	0.0	0.0	0.0	0.0	0.0
0.5337	0.0071	0.031	0.01	0.0	0.019999999552965164	0.0	0.0
0.0046	0.006	7.955	0.0	0.0	0.0	0.002	0.0
0.5263	0.006	1.192	0.0	0.0	0.0	0.0	0.0
0.2512	0.007	1.456	0.0	0.0	0.0	0.0	0.0
0.2055	0.007	0.528	0.0	0.0	0.0	0.0	0.0
0.4932	0.017	6.931	0.0	0.0	0.0	0.0	0.0
0.1664	0.0065	0.334	0.0	0.04	0.0	0.002	0.0
0.2646	0.0061	0.019	0.0	0.0	0.0	0.0	0.0
0.3669	0.0084	0.195	0.01	0.0	0.0	0.0	0.0
0.1518	0.0084	2.665	0.0	0.0	0.0	0.0	0.0
0.004	0.01	0.022	0.0	0.0	0.0	0.0	0.0
0.3542	0.0084	0.023	0.0	0.0	0.0	0.0	0.0
0.4841	0.011	0.778	0.0	0.0	0.009999999776482582	0.0	0.0
0.3808	0.011	17.015	0.02	0.0	0.0	0.0	0.0
0.8018	0.0084	2.364	0.0	0.0	0.009999999776482582	0.0	0.0
1.0781	0.0084	8.064	0.0	0.0	0.0	0.0	0.0
1.3236	0.0085	0.545	0.0	0.0	0.0	0.0	0.0
0.3685	0.0084	7.955	0.02	0.0	0.0	0.0	0.0
2.0602	0.018	0.288	0.0	0.0	0.0	0.0	0.0
0.4324	0.0094	5.132	0.0	0.0	0.0	0.0	0.0
0.1011	0.011	0.867	0.0	0.0	0.0	0.0	0.0
0.3579	0.0084	2.062	0.0	0.0	0.0	0.0	0.0
0.8471	0.01	0.165	0.0	0.0	0.0	0.0	0.0
